shape,children,adults,senior_citizens,total_sightings
changed,4,4,3,0
changing,1,1,2,2
chevron,1,1,1,2
cigar,0,0,0,3
circle,2,2,3,4
cone,0,0,0,1
crescent,2,2,2,0
cross,2,2,1,1
cylinder,1,1,0,2
delta,2,2,2,0
