shape,children,adults,senior_citizens,total_sightings
changing,4,4,4,2
chevron,4,4,4,1
cigar,2,2,2,2
circle,2,2,2,4
cone,4,4,4,0
cross,4,4,4,0
cylinder,0,0,0,1
diamond,3,3,3,1
disk,1,1,1,3
egg,2,2,2,0
