shape,children,adults,senior_citizens
changing,11686,27681,2185
cigar,6916,29308,8565
circle,46910,114805,22817
cross,16104,44132,7182
cylinder,623,2489,213
diamond,9770,25793,5543
disk,3636,8431,913
egg,34380,81741,11632
flash,5865,19024,2370
formation,46910,114805,22817
light,421,1294,167
oval,838,2412,669
sphere,1268,3622,885
triangle,800,3268,790
unknown,219668,495806,90736
unknown,101357,260006,44505
